id,phase,check,pass_criterion,evidence,owner,basis,status
P02-18,P02,Outcome scope and limits,"What is sealed/expunged/set aside, exceptions to disclosure and unaffected records are explained correctly.",Relief/agency/disclosure source mapping.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-19,P02,Objections and escalation,"Opposition, hearings, denial, appeal, missed deadline or uncertain relief trigger the proper self-help stopping point and handoff.",Escalation state graph and source.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-20,P02,False-positive and false-negative routing,Eligible fixtures are not wrongly held or sold the wrong remedy; ineligible fixtures cannot transact as eligible.,Positive/negative comparison for every decision branch.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-21,P02,Cross-jurisdiction and federal boundaries,"Records from multiple states, federal cases, juvenile/adult distinctions and unsupported geography are handled explicitly.",Mixed-record and boundary cases.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-22,P02,Shared-spec exact membership,Shared families bind all declared routeKeys and no undeclared sibling; trace the actual chosen document output.,Member/nonmember and local variant cases.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-23,P02,Legacy equality,MS/IL/DC/PA/TX and all jurisdictions use current exact-route evidence and quality; historical downloads are separately governed.,Route source/authority/delivery comparison.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P02-24,P02,Required legal sign-off,Existing human approval is applicable to these exact requirements/bytes; missing or changed legal decisions are reviewed by the qualified authorized reviewer.,Signed/adopted review record or explicit blocker.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P03-01,P03,Screening frozen behavior,Packet UX does not add upstream work or alter accepted screening order/wording/results except exact authorized legal corrections.,Baseline delta plus user-path observations.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-02,P03,All route/outcome journeys,"Every enumerated route and material outcome has a UI path with expected next action, not only a selected success demo.",Route/outcome/case evidence IDs.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-03,P03,Safe question visibility,Relevant questions and explanations appear at correct branches; hidden values do not silently change results.,Branch traces and submitted payloads.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-04,P03,Known answer reuse,"Known screening/account/case facts arrive populated or visible with edit access, not as new mandatory empty questions.",Before-entry controls and fact provenance.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-05,P03,No duplicates or alias conflicts,The same fact is not reasked under a different name/stage; aliases resolve consistently.,Cross-stage fact/action ledger.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-06,P03,Deterministic derivation,Derived facts have valid inputs and no participant work; unknown inputs do not create fake precision.,Derivation and boundary cases.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-07,P03,Actual workload,"Count new manual facts, choices, backtracking and errors across the whole journey; grouping alone is not success.",Real browser workload before filling and screenshots.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-08,P03,Conditional fact behavior,"Dependants appear and disappear correctly, saved irrelevant answers do not leak into packets, and required conditions remain enforced.",Condition-on/off/edit cases.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-09,P03,Generation versus filing tasks,True eligibility/generation facts remain gates; later filing/execution tasks stay available without becoming unnecessary intake.,Requirement-stage matrix and UI gates.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-10,P03,Unknown-information help,"Participants can understand and obtain genuinely missing records without false defaults, dead ends or surprise postpay intake.",Unknown-answer UX and route-specific help.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-11,P03,Field semantics,"Dates, money, addresses, names, zero/false values, multi-charges, arrays and explicit unknowns validate and persist correctly.",Field boundary and locale cases.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-12,P03,Auth and exact result claim,Anonymous screening becomes the correct authenticated participant-owned matter exactly once; wrong/expired claim is refused.,"Pending ID, session, item and ownership trace.",G + B + R,SRC-01; SRC-03,NOT RUN
P03-13,P03,Account recovery and session expiry,"Sign-up/verification/reset/resend/expiry preserve permitted progress, reject replay and return to the intended matter.",Controlled account lifecycle cases.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-14,P03,Server-confirmed saves,Saved indicator follows durable server success; lost/failed requests never claim saved or discard recoverable work.,Request/response/reload evidence.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-15,P03,Save resume and old matters,"Refresh, leave/return, another device and pre-change saved matters preserve answers and valid entitlements.",Persisted-state comparison by matter.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-16,P03,Concurrent edits,"Two tabs or staff/participant edits avoid silent lost updates, conflicting approvals and stale values.",Conflict/revision cases.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-17,P03,Review exactness,Review shows important actual values and provenance; edit targets the exact field and returns without resetting others.,Review/edit/review trace.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-18,P03,Material-edit invalidation,Material changes invalidate stale verification/output authority and re-evaluate safely without duplicate charge or case creation.,"Old/new hashes, status and payment readback.",G + B + R,SRC-01; SRC-03,NOT RUN
P03-19,P03,Section usability,"Sections have useful grouping/progress and readable density; excessive scrolling/fields are inspected, not auto-passed.",Desktop/mobile screen-state review.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-20,P03,Ready versus incomplete,"Status and CTA agree with actual requirements, authority, entitlement and job state; incomplete is never ready.",State matrix across Briefcase/review/API.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-21,P03,EN/ES value parity,Locale switching preserves canonical facts and equivalent questions/help/errors; translated labels do not become wrong data values.,Paired locale case and packet-input comparison.,G + B + R,SRC-01; SRC-03,NOT RUN
P03-22,P03,Keyboard and error recovery,"Focus, labels, validation summaries and back navigation work throughout forms without trapping or losing data.",Keyboard trace plus accessibility findings.,G + B + R,SRC-01; SRC-03,NOT RUN
P04-01,P04,Source file identity,The exact official source/form edition and hash are present; renamed or newer bytes are not silently treated as the approved source.,"File hash, publisher, version and custody.",G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-02,P04,Primary document vehicle,Each generated filing is the required instrument; generic court-facing report pages cannot substitute.,Source and actual canonical PDF comparison.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-03,P04,Caption and case mode,"Court, division, parties, role alignment and case-number terminology/placement match the exact case and local convention.",Page-by-page caption review.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-04,P04,Statutory allegations,Required elements and supporting factual allegations appear in the correct component without unsupported assertions.,Source-to-paragraph matrix.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-05,P04,Participant/matter mapping,"Every name, date, count, charge, case identifier and address matches the verified matter across all components.",Field-to-output mapping and synthetic expected data.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-06,P04,Official PDF field placement,"Values bind correct widgets/printed blanks, not neighboring labels; full name versus name part and date component errors are absent.",Widget geometry and rendered appearance.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-07,P04,Protected field treatment,Judicial/clerk/prosecutor/notary fields remain appropriately unexecuted; legitimate proposed text is distinguished from completed acts.,Ownership matrix and output comparison.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-08,P04,Execution blocks,"Signer, pro se/contact block, oath/jurat/declaration and signature spacing follow exact authority; no generic mandatory verification.",Execution-page visual/source inspection.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-09,P04,Proposed order validity,"Order is required/allowed, independently signable and actionable; correct findings, agencies, scope and distribution; no generic statewide substitute.",Order-specific legal and visual review.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-10,P04,Service certificates,Certificate names actual intended/completed act correctly; recipient/method/date are sourced; future service is not falsely certified.,Certificate text and service-state cases.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-11,P04,Attachments and evidence,"External records are included only from supplied sources, labeled correctly, and never fabricated as pleadings.",Attachment provenance and assembled set.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-12,P04,Court-facing purity,"No product branding, disclaimers, QA notes, internal instructions or unresolved template tokens leak onto filing pages.",Full text and visual review; legitimate source text distinguished.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-13,P04,Cross-jurisdiction contamination,No imported court/agency/sovereign boilerplate; legitimate historical out-of-state facts are not false-positive blocked.,Origin-aware rule and wrong-jurisdiction mutation.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-14,P04,Privacy redaction,"Protected values are absent from public text, hidden layers, metadata, form fields and attachments; confidential components remain separate.","Extraction, metadata/widget and image inspection.",G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-15,P04,Long and multilingual data,"Long names, addresses, multiple charges and supported characters remain complete and readable; no clipping, silent truncation or character dropping.",Long-data EN/ES/Unicode boundary PDFs.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-16,P04,Typography and pagination,"Court-compliant paper/margins/font/spacing/page numbers; no overlaps, bad line breaks, orphan headings/signatures or filler pages.",Every rendered page with measured geometry where needed.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-17,P04,PDF validity and appearances,"PDF opens, renders and prints; AcroForm/XFA/flattening/appearance behavior is appropriate; two-engine review for risky form classes.",Structural report and renderer parity evidence.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-18,P04,Missing-required-data refusal,Absent legal identifiers/required allegations cannot yield a releasable packet; legitimate blank execution fields remain allowed.,Named refusal and positive blank-field cases.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-19,P04,Set completeness and ordering,"All required components/continuations/covers appear in correct order, without duplicate, obsolete or wrong-stage documents.",Manifest-to-assembled-page comparison.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-20,P04,Actual delivered bytes,Inspected artifacts match downloads from the audited journey and worker; fixture-only PDFs cannot stand in for delivered output.,SHA-256 chain job/storage/download/review.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-21,P04,Artifact variant visual coverage,"Every unique canonical, boundary, local-form, language and layout-stress artifact is reviewed page by page; identical bytes reuse the same review explicitly.",Artifact/page coverage records and hash references.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-22,P04,Professional/legal acceptance,Applicable qualified approval covers the exact final legal content/output; clerk-return risks identified in the audit are closed.,Source/format checklist and approval applicability.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-23,P04,Historical packet handling,Old entitled documents are not silently overwritten; corrected regeneration and unsafe legacy access follow accepted version/entitlement policy.,Historical/current artifact and access cases.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P04-24,P04,Informational translations,Non-fileable translated companions remain reference-only and accompany the required filing-language form; never auto-file a forbidden translation.,Source notice and full/court-only assembly.,G + R + H-L,SRC-01; SRC-02; SRC-05,NOT RUN
P05-01,P05,Approved design fidelity,"Overview, Next Steps, Filing Checklist and Fees & Costs use the supplied restrained visual system without a new design per state.",Reference versus actual EN/ES page images.,G + R,SRC-01; SRC-02; SRC-04,NOT RUN
P05-02,P05,Universal renderer coverage,All intended packet pathways consume the same normalized supplemental architecture; no grandfathered or generic-fallback states.,Call path and pathway render matrix.,G + R,SRC-01; SRC-02; SRC-04,NOT RUN
P05-03,P05,Correct identity and contents,"Participant, date, jurisdiction, court, remedy and included document list match actual verified matter and assembly.",Guide-to-packet data comparison.,G + R,SRC-01; SRC-02; SRC-04,NOT RUN
P05-04,P05,Filing sequence and actor,"Steps reflect actual route order, responsible person, deadline anchor and court/agency channel; illustrated template order is not universal law.",Guide sentences against P02 source expectations.,G + R,SRC-01; SRC-02; SRC-04,NOT RUN
P05-05,P05,Checklist exactness,"Required signatures, copies, exhibits, filing/service and follow-up tasks align with real components and conditions.",Document/task matrix and guide output.,G + R,SRC-01; SRC-02; SRC-04,NOT RUN
P05-06,P05,Fee accuracy,"Product purchase, government, records, certification and service costs are separate; total/range math, unknowns and fee waivers are truthful.",Source fee values and computed rendered totals.,G + R,SRC-01; SRC-02; SRC-04,NOT RUN
P05-07,P05,Source date and currentness,Relevant official fee/procedure sources and verification dates are correct; no stale claim presented as current.,Source references and rendered date.,G + R,SRC-01; SRC-02; SRC-04,NOT RUN
P05-08,P05,Missing guidance data,"Absent required content is an explicit defect, not blank fields or generic filler that claims packet completeness.",Missing-data negative and accurate output.,G + R,SRC-01; SRC-02; SRC-04,NOT RUN
P05-09,P05,Full and court-only split,Guide pages appear only in full output; court-only bytes/components are not contaminated or changed by guide assembly.,Paired full/court-only extraction and rendering.,G + R,SRC-01; SRC-02; SRC-04,NOT RUN
P05-10,P05,Do-not-file designation,Every guide page is clearly marked KEEP FOR YOUR RECORDS / DO NOT FILE (equivalent Spanish); filing pages are not.,Every guide and court page review.,G + R,SRC-01; SRC-02; SRC-04,NOT RUN
P05-11,P05,Brand asset packaging,Logo and necessary render assets work without runtime network/browser fetch in the actual worker.,Isolated image render and packaged-assets evidence.,G + R,SRC-01; SRC-02; SRC-04,NOT RUN
P05-12,P05,Readable overflow,"Four sections may span more pages; long tables, instructions, headings and page numbers remain readable and correct.",Boundary layouts and full page census.,G + R,SRC-01; SRC-02; SRC-04,NOT RUN
P05-13,P05,Spanish substantive parity,"Guide meaning, costs, procedure and action labels match EN, not an old template or English fallback.",Sentence-level locale alignment review.,G + R,SRC-01; SRC-02; SRC-04,NOT RUN
P05-14,P05,Links and portals,Visible URLs/QRs and clickable targets are correct official destinations and do not expose private tokens.,Target validation and rendered link metadata.,G + R,SRC-01; SRC-02; SRC-04,NOT RUN
P05-15,P05,Versioned provenance,Guide/template version changes with material output; artifact records identify exact version and sources.,Version/hash evidence.,G + R,SRC-01; SRC-02; SRC-04,NOT RUN
P05-16,P05,Rejected-filing guidance,"Return/rejection, missing attachment, opposition and follow-up steps are practical and within self-help scope.",Route-specific exception instructions.,G + R,SRC-01; SRC-02; SRC-04,NOT RUN
P05-17,P05,No false completed acts,"Guide does not claim filed, served, approved or cleared based solely on generation/payment/download.",UI/message/guide state comparison.,G + R,SRC-01; SRC-02; SRC-04,NOT RUN
P06-01,P06,All offered DTC routes,"Every intended paid route/variant reaches its actual authorized checkout and delivered packet in acceptance, not only a sample route.",Same-matter E2E case for each applicable route/language.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-02,P06,Price and product binding,"Amount, currency, product and eligibility derive server-side from the approved current contract, not client flags.",Checkout request tampering and provider readback.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-03,P06,Review before purchase,True route/generation prerequisites and current verification gate checkout; free steps do not initiate payment.,Boundary UI/API cases and provider absence proof.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-04,P06,Payment settlement authority,Signed provider events and correct provider objects establish payment; browser returns or writable row fields cannot mark paid.,"Signature, event, amount/currency and privilege tests.",G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-05,P06,Exact user and matter,"Order, checkout, verification, payment, render, stored packet and download all bind the same participant/matter.",Correlated identity/hash chain.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-06,P06,Double clicks and concurrency,"Repeated checkout clicks, parallel tabs and duplicate requests cannot charge twice or create unrelated orders.",Controlled concurrent request/provider records.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-07,P06,Webhook replay/order,"Duplicate, delayed, reordered or retried events reconcile idempotently; old events do not undo newer valid state.",Event sequence and durable ledger results.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-08,P06,Declines and cancellation,"Decline, authentication failure, cancelled/expired session and abandoned checkout preserve work and provide usable retry.",Sandbox scenario browser and provider state.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-09,P06,Discount and zero-charge cases,Only configured supported discounts/zero totals grant the correct order-bound entitlement; no fabricated paid amount.,Applicable provider-backed cases or sourced N/A.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-10,P06,Return-before-webhook,Early return/polling is honest pending state and later converges without a second payment or administrator edit.,Timed return/event/ready trace.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
P06-11,P06,Refund and dispute handling,Refund/dispute behavior follows the approved entitlement policy; pending/repeated notifications do not duplicate reversals.,Sandbox or isolated replay and policy mapping.,G + B + R,SRC-01; SRC-03; EXT-STRIPE,NOT RUN
