control_id,category,control_name,control_statement,control_objective,trust_service_criteria,systems_in_scope,accountable_owner,responsible_operator,required_approver,evidence_administrator,frequency,implementation_type,current_status,evidence_maturity,existing_repo_evidence,external_evidence_location,acceptance_criteria,dependencies,secureframe_mapping,legal_approval_required,observation_period_evidence,notes
DAT-01,DAT,Data inventory and flow map,"All participant, partner and employee data stores and flows are inventoried.",Know where data lives.,Confidentiality,All,Roger Roman,[Technical Control Owner],Lawrence Blackmon,Faith Walls,Semiannual,Administrative,PLANNED,NONE,docs/security/soc2/DATA_INVENTORY.csv,SF,Every store classified with owner and retention.,CC0,TO_MAP_IN_SECUREFRAME,Yes,Inventory export,
DAT-02,DAT,Data classification,"Data is classified, with handling rules per class.",Proportionate handling.,Confidentiality,All,Roger Roman,[Technical Control Owner],Lawrence Blackmon,Faith Walls,Annual,Administrative,PLANNED,NONE,,SF,Approved classification scheme applied to every store.,DAT-01,TO_MAP_IN_SECUREFRAME,Yes,Approved scheme,
DAT-03,DAT,Criminal-record data handling,Participant criminal-record facts receive the highest handling class.,Protect the most sensitive data.,Confidentiality,Product,Lawrence Blackmon,[Technical Control Owner],Lawrence Blackmon,Faith Walls,Continuous,Hybrid,PARTIALLY_IMPLEMENTED,REPOSITORY_IMPLEMENTED,supabase RLS; requireConsumerBriefcaseSession,,Handling rules approved and enforced technically.,DAT-02,TO_MAP_IN_SECUREFRAME,Yes,Policy plus control tests,See PIN-05: three tables expose these facts by partner tenancy.
IAM-01,IAM,Unique named accounts,No shared credentials for any privileged system.,Attributable action.,Security,All,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,Administrative,EXTERNAL_ACTION_REQUIRED,NONE,,"SF, consoles",No shared account exists in any privileged system.,CC2,TO_MAP_IN_SECUREFRAME,No,Account listings,Contract already forbids shared Clinic staff credentials.
IAM-02,IAM,Privileged MFA,MFA is enforced on every privileged system.,Prevent credential compromise.,Security,All,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,External,EXTERNAL_ACTION_REQUIRED,NONE,,Consoles,Current export per system showing enforcement.,AST-01,TO_MAP_IN_SECUREFRAME,No,MFA export per system,P0-2. Not evidenced anywhere today.
IAM-03,IAM,Privileged-access inventory,All privileged accounts are inventoried per system.,Know who has access.,Security,All,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Quarterly,Hybrid,PARTIALLY_IMPLEMENTED,REPOSITORY_IMPLEMENTED,scripts/security/audit-internal-admin-access.mjs,SF,Inventory produced per system with dates.,AST-01,TO_MAP_IN_SECUREFRAME,No,Inventory export,Tool exists; no run against production is evidenced.
IAM-04,IAM,Access review,Privileged access is reviewed quarterly and inappropriate access removed.,Least privilege over time.,Security,All,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Quarterly,Hybrid,EXTERNAL_ACTION_REQUIRED,REPOSITORY_IMPLEMENTED,scripts/security/remediate-internal-admin-accounts.mjs,SF,"Reviewer, date, decisions and removals recorded.",IAM-03,TO_MAP_IN_SECUREFRAME,No,Signed review record,P0-3/P0-4.
IAM-05,IAM,"Joiner, mover, leaver","Access is granted, changed and revoked on defined events; termination same-day.",Timely revocation.,Security,All,Faith Walls,Faith Walls,Roger Roman,Faith Walls,Per event,Administrative,PLANNED,NONE,,SF,Checklist completed per event with dates.,CC3,TO_MAP_IN_SECUREFRAME,No,Completed checklists,
IAM-08,IAM,Owner-scoped data access,Every participant object is reachable only by its authenticated owner.,Participant ownership.,Confidentiality,Product,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,Technical,PARTIALLY_IMPLEMENTED,REPOSITORY_IMPLEMENTED,"73 RLS policies, 44 tables; requireConsumerBriefcaseSession()",,Owner check on every matter and artifact route.,,TO_MAP_IN_SECUREFRAME,No,Authorization tests,Contradicted for three RCAP tables — see PIN-05.
IAM-09,IAM,Partner tenant isolation,A partner cannot reach another partner's data.,Tenant isolation.,Confidentiality,Product,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,Technical,PARTIALLY_IMPLEMENTED,REPOSITORY_IMPLEMENTED,current_partner_slug() RLS policies,,Cross-tenant denial proven by test.,,TO_MAP_IN_SECUREFRAME,No,Denial tests,
IAM-11,IAM,Internal-admin authorization,Internal administrative access is explicitly granted and reviewed.,Prevent over-privilege.,Security,Internal,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Quarterly,Hybrid,PARTIALLY_IMPLEMENTED,REPOSITORY_IMPLEMENTED,docs/security/rcap-internal-admin-authorization-audit.md; scripts/test-internal-admin-rls-hardening.mjs,SF,Remediation applied and re-verified in production.,IAM-03,TO_MAP_IN_SECUREFRAME,No,Production evidence,Audit found an over-privileged identity; remediation not evidenced as applied.
IAM-12,IAM,Pending-result claim credential,Claiming a pending result requires a single-use credential bound to the originating session.,Prevent a bystander claiming another person's screening result.,Confidentiality,Product,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,Technical,BLOCKED,NONE,"supabase/phase-38-...sql:6 declares pending_token_hash, unused",,"Token generated, hashed, verified, single-use, stripped from URL.",CC2,TO_MAP_IN_SECUREFRAME,Yes,Claim audit events,P0. Dead schema; no code on any of 617 branches writes or verifies it. Contract section 7.
HR-02,HR,Onboarding checklist,Every hire completes a documented onboarding checklist.,Consistent provisioning.,Security,Corporate,Faith Walls,Faith Walls,Roger Roman,Faith Walls,Per hire,Administrative,PLANNED,NONE,,SF,Completed checklist per hire.,CC3,TO_MAP_IN_SECUREFRAME,No,Checklists,
HR-03,HR,Offboarding checklist,Termination revokes access same-day and returns devices.,Timely revocation.,Security,Corporate,Faith Walls,Faith Walls,Roger Roman,Faith Walls,Per termination,Administrative,PLANNED,NONE,,SF,Same-day revocation evidenced.,IAM-05,TO_MAP_IN_SECUREFRAME,No,Checklists,
TRN-01,TRN,Security-awareness training,All personnel complete training at hire and annually.,Human risk.,Security,Corporate,Faith Walls,Faith Walls,Roger Roman,Faith Walls,Annual,Administrative,PLANNED,NONE,,SF,Completion records per person.,CC3,TO_MAP_IN_SECUREFRAME,No,Completion export,
TRN-04,TRN,Clinic staff privacy training,"Clinic staff are trained on consent, ownership and device reset.",Protect participants on shared devices.,Privacy,RCAP,Faith Walls,Faith Walls,Lawrence Blackmon,Faith Walls,Per event cycle,Administrative,PLANNED,NONE,,SF,Training completed before staffing an event.,TRN-01,TO_MAP_IN_SECUREFRAME,Yes,Completion records,
TRN-07,TRN,Policy acknowledgment,Personnel acknowledge policies at hire and on material change.,Awareness of obligations.,Security,Corporate,Faith Walls,Faith Walls,Roger Roman,Faith Walls,Annual,Administrative,PLANNED,NONE,,SF,Acknowledgment per person per version.,GOV-02,TO_MAP_IN_SECUREFRAME,No,Acknowledgment export,
VEN-01,VEN,Vendor inventory and tiering,All vendors inventoried with owner and risk tier.,Know third-party exposure.,Security,All,Faith Walls,Faith Walls,Roger Roman,Faith Walls,Quarterly,Administrative,PLANNED,NONE,docs/security/soc2/VENDOR_REGISTER.csv,SF,Every vendor has an owner and a tier.,AST-01,TO_MAP_IN_SECUREFRAME,No,Register export,
VEN-04,VEN,Critical-vendor due diligence,Critical vendors are reviewed before use and annually.,Third-party assurance.,Security,All,Faith Walls,Faith Walls,Roger Roman,Faith Walls,Annual,Administrative,EXTERNAL_ACTION_REQUIRED,NONE,,SF,SOC report or security materials reviewed and dated.,VEN-01,TO_MAP_IN_SECUREFRAME,No,Review records,Roger approves business/security risk; Lawrence approves contracts and DPAs.
VEN-07,VEN,DPA and subprocessor review,Data-processing terms and subprocessors are reviewed.,Lawful processing.,Privacy,All,Lawrence Blackmon,Faith Walls,Lawrence Blackmon,Faith Walls,Annual,Administrative,LEGAL_DECISION_REQUIRED,NONE,,SF,Current DPA on file per processor.,VEN-01,TO_MAP_IN_SECUREFRAME,Yes,DPA records,
CRY-04,CRY,Secret storage,No secret is hard-coded; all secrets live in an approved store.,Prevent credential exposure.,Security,All,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,Hybrid,PARTIALLY_IMPLEMENTED,REPOSITORY_IMPLEMENTED,.env.example carries no values,Consoles,Secret inventory complete; scanning enabled.,VUL-02,TO_MAP_IN_SECUREFRAME,No,Scan results,
CFG-03,CFG,Environment separation,Production is separated from non-production.,Blast-radius control.,Security,All,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,Technical,PARTIALLY_IMPLEMENTED,REPOSITORY_IMPLEMENTED,.github/workflows staging and canary workflows,Consoles,Separation evidenced in console configuration.,AST-01,TO_MAP_IN_SECUREFRAME,No,Config export,
SDLC-03,SDLC,Protected production change path,main is protected; PRs required; force-push blocked.,No unreviewed production code.,Security,GitHub,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,External,EXTERNAL_ACTION_REQUIRED,NONE,,GitHub settings,"Ruleset export showing protection, required reviews, no force-push.",,TO_MAP_IN_SECUREFRAME,No,Ruleset export,P0-1. Reported as main protected:false; not verifiable from inside the container.
SDLC-04,SDLC,Required status checks,Designated checks must pass before merge.,Automated gate.,Security,GitHub,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,External,EXTERNAL_ACTION_REQUIRED,REPOSITORY_IMPLEMENTED,.github/workflows (13); scripts/verify-*.mjs (333),GitHub settings,Named checks configured as required.,SDLC-03,TO_MAP_IN_SECUREFRAME,No,Ruleset export,Checks exist and run; nothing evidences they are required.
SDLC-08,SDLC,Migration review,Schema changes are reviewed before application.,Prevent unsafe migration.,Processing Integrity,Supabase,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Per change,Hybrid,PARTIALLY_IMPLEMENTED,DESIGN_DOCUMENTED,docs/RCAP_MIGRATION_APPLY_ORDER_SECURITY.md; docs/security/rcap-internal-admin-rls-blast-radius.md,,Review recorded per migration.,SDLC-03,TO_MAP_IN_SECUREFRAME,No,Review records,
SDLC-14,SDLC,Automated test evidence,Product contracts are asserted by automated verifiers.,Regression prevention.,Processing Integrity,Product,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Per change,Technical,VERIFIED_EXISTING,REPOSITORY_IMPLEMENTED,333 scripts/verify-*.mjs,,Verifiers run in CI on every change.,SDLC-04,TO_MAP_IN_SECUREFRAME,No,CI run history,A verifier proves only what it tests.
VUL-01,VUL,Dependency scanning,Dependencies are scanned and findings tracked.,Known-vulnerable components.,Security,GitHub,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,External,EXTERNAL_ACTION_REQUIRED,NONE,,GitHub settings,Scanning enabled; findings triaged to SLA.,SDLC-03,TO_MAP_IN_SECUREFRAME,No,Scan history,No .github/dependabot.yml exists.
VUL-02,VUL,Secret scanning,Repository secret scanning with push protection is enabled.,Prevent leaked credentials.,Security,GitHub,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,External,EXTERNAL_ACTION_REQUIRED,NONE,,GitHub settings,Scanning and push protection enabled.,SDLC-03,TO_MAP_IN_SECUREFRAME,No,Settings export,
VUL-03,VUL,Code scanning,Static analysis runs on the default branch.,Find code defects.,Security,GitHub,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,External,EXTERNAL_ACTION_REQUIRED,NONE,,GitHub settings,CodeQL or equivalent enabled.,SDLC-03,TO_MAP_IN_SECUREFRAME,No,Scan history,
VUL-04,VUL,Remediation SLA,Findings are remediated to severity-based deadlines.,Timely fixes.,Security,All,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,Administrative,PLANNED,NONE,docs/sprint-control/audit/CONTRACT_AUDIT_FINDINGS_20260827.json,SF,"Every finding has a severity, owner and due date.",VUL-01,TO_MAP_IN_SECUREFRAME,No,Tracker export,251 verified product-contract gaps await triage.
VUL-08,VUL,Penetration testing,An independent test is performed at defined intervals.,Independent assurance.,Security,Product,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Annual,External,EXTERNAL_ACTION_REQUIRED,NONE,,SF,Report received; findings tracked and retested.,CCG-B,TO_MAP_IN_SECUREFRAME,No,Report and retest,
LOG-01,LOG,Centralized logging,Security-relevant events are collected centrally.,Detection and investigation.,Security,All,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,Hybrid,PLANNED,NONE,src/lib/observability/logger,Consoles,Log sources inventoried and shipping.,AST-01,TO_MAP_IN_SECUREFRAME,No,Config plus samples,
LOG-06,LOG,Privacy-safe telemetry,"No PII, answers, documents, tokens or signed URLs in analytics or ordinary logs.",Prevent telemetry leakage.,Privacy,Product,Roger Roman,[Technical Control Owner],Lawrence Blackmon,Faith Walls,Continuous,Technical,PARTIALLY_IMPLEMENTED,REPOSITORY_IMPLEMENTED,src/lib/observability/logger getSafeRequestId,,Payload schema reviewed; prohibited fields absent.,DAT-02,TO_MAP_IN_SECUREFRAME,Yes,Schema review,Contract section 11. Audit found outcome classes and route ids treated as non-sensitive.
LOG-09,LOG,Alert responders,Every critical alert has a named responder.,Alerts are actioned.,Availability,All,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,Administrative,PLANNED,NONE,,SF,Alert-to-responder map current.,LOG-01,TO_MAP_IN_SECUREFRAME,No,Alert config,
IR-01,IR,Incident-response plan,"A documented plan with roles, severity and contacts.",Coordinated response.,Security,All,Roger Roman,[Technical Control Owner],Lawrence Blackmon,Faith Walls,Annual,Administrative,PLANNED,NONE,,SF,Plan approved with named roles.,CC5,TO_MAP_IN_SECUREFRAME,Yes,Approved plan,Roger is Incident Commander; Lawrence holds notification authority; Faith coordinates and keeps evidence.
IR-09,IR,Legal notification analysis,Notification obligations are determined by legal authority.,Lawful notification.,Privacy,All,Lawrence Blackmon,Lawrence Blackmon,Lawrence Blackmon,Faith Walls,Per incident,Administrative,LEGAL_DECISION_REQUIRED,NONE,,SF,Determination recorded per incident.,IR-01,TO_MAP_IN_SECUREFRAME,Yes,Determination records,
IR-10,IR,Tabletop exercise,A tabletop is performed at least annually.,Test the plan.,Security,All,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Annual,Administrative,PLANNED,NONE,,SF,Exercise held; actions closed or tracked.,IR-01,TO_MAP_IN_SECUREFRAME,No,Exercise record,"First scenario fixed: compromised partner/Clinic staff account, possible participant document access, packet or signed download reference in an application log."
BCDR-05,BCDR,Backup and PITR confirmation,Production database backups and PITR are configured and confirmed.,Recoverability.,Availability,Supabase,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Quarterly,External,EXTERNAL_ACTION_REQUIRED,NONE,,Supabase console,Current console evidence of configuration and retention.,AST-01,TO_MAP_IN_SECUREFRAME,No,Console export,P0-7.
BCDR-10,BCDR,Restoration exercise,A production-representative restore is performed and measured.,Prove recoverability.,Availability,"Supabase, Storage",Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Annual,External,EXTERNAL_ACTION_REQUIRED,NONE,,SF,Restore completed; actual RTO and RPO recorded.,BCDR-05,TO_MAP_IN_SECUREFRAME,No,Exercise record,A repository backup is not evidence that participant data can be restored.
PRI-01,PRI,Privacy notice,"A current privacy notice describes collection, use and rights.",Transparency.,Privacy,Public,Lawrence Blackmon,Faith Walls,Lawrence Blackmon,Faith Walls,Annual,Administrative,PARTIALLY_IMPLEMENTED,DESIGN_DOCUMENTED,src/content/legal/privacy-policy.md,,Notice current and legally approved.,,TO_MAP_IN_SECUREFRAME,Yes,Approved version,
PRI-04,PRI,Anonymous-to-authenticated boundary,No durable participant object exists before authentication.,Screening may be anonymous; a Briefcase may not be.,Privacy,Product,Roger Roman,[Technical Control Owner],Lawrence Blackmon,Faith Walls,Continuous,Technical,PARTIALLY_IMPLEMENTED,REPOSITORY_IMPLEMENTED,"claim route 401; consumer_pending_screening_results RLS, expires_at 24h, payment_allowed false",,No path creates a durable object without a session.,IAM-12,TO_MAP_IN_SECUREFRAME,Yes,Authorization tests,Boundary holds; the claim credential does not — see IAM-12.
PRI-07,PRI,Privacy-request intake,"Requests are received, identity-verified, scoped, tracked and evidenced.",Honour data rights.,Privacy,All,Faith Walls,Faith Walls,Lawrence Blackmon,Faith Walls,Per request,Administrative,PLANNED,DESIGN_DOCUMENTED,src/content/legal/privacy-policy.md; /legalease/data-request (static),SF,Durable request record with verification and disposition.,CC6,TO_MAP_IN_SECUREFRAME,Yes,Request records,"Interim manual process acceptable only with intake, verification, scope, retention review, execution, propagation, review, completion evidence."
PRI-12,PRI,Retention schedule,Every data category has an approved retention rule.,Minimise retention.,Privacy,All,Lawrence Blackmon,Faith Walls,Lawrence Blackmon,Faith Walls,Annual,Administrative,LEGAL_DECISION_REQUIRED,NONE,,SF,Approved schedule covering every category in DAT-01.,DAT-01,TO_MAP_IN_SECUREFRAME,Yes,Approved schedule,
PRI-13,PRI,Legal holds,"Holds are applied, documented and reviewed by legal authority.",Preserve when required.,Privacy,All,Lawrence Blackmon,Lawrence Blackmon,Lawrence Blackmon,Faith Walls,Per hold,Administrative,LEGAL_DECISION_REQUIRED,NONE,,SF,"Hold recorded with reason, scope, review date.",PRI-12,TO_MAP_IN_SECUREFRAME,Yes,Hold records,
PRI-15,PRI,Participant data export,An authenticated participant can export their data.,Portability.,Privacy,Product,Roger Roman,[Technical Control Owner],Lawrence Blackmon,Faith Walls,Continuous,Technical,PLANNED,NONE,,,Export available and evidenced end to end.,CC6,TO_MAP_IN_SECUREFRAME,Yes,Request records,No implementation on any of 617 branches. Contract section 12A.
PRI-16,PRI,Matter deletion,A participant can delete an individual matter.,Granular control.,Privacy,Product,Roger Roman,[Technical Control Owner],Lawrence Blackmon,Faith Walls,Continuous,Technical,PLANNED,NONE,,,Deletion available; other matters unaffected.,CC6,TO_MAP_IN_SECUREFRAME,Yes,Request records,No implementation on any branch.
PRI-17,PRI,Account and personal-data deletion,A participant can permanently delete their account and personal data.,Right to erasure.,Privacy,Product,Roger Roman,[Technical Control Owner],Lawrence Blackmon,Faith Walls,Continuous,Technical,PLANNED,NONE,,,"Durable request, stepped job, receipt; auth identity deleted last.",PRI-16,TO_MAP_IN_SECUREFRAME,Yes,Request records,P0 product gap. No implementation on any branch. Contract section 12A.
PRI-20,PRI,Clinic shared-device reset,Reset revokes server-side and leaves no recoverable participant data.,Shared-device privacy.,Privacy,RCAP,Roger Roman,[Technical Control Owner],Lawrence Blackmon,Faith Walls,Per session,Technical,PARTIALLY_IMPLEMENTED,REPOSITORY_IMPLEMENTED,src/lib/clinic-mode,,"Next participant recovers nothing, including via Back.",,TO_MAP_IN_SECUREFRAME,Yes,Acceptance evidence,
PIN-01,PIN,Server-authoritative evaluation,Legal evaluation happens on the server; the client cannot influence it.,Correct routing.,Processing Integrity,Product,Roger Roman,[Technical Control Owner],Lawrence Blackmon,Faith Walls,Continuous,Technical,PARTIALLY_IMPLEMENTED,REPOSITORY_IMPLEMENTED,src/lib/rcap-engine,,"No client path alters route, eligibility or price.",,TO_MAP_IN_SECUREFRAME,Yes,Verifier results,
PIN-02,PIN,Atomic pending-result claim,The claim is one transaction producing exactly one matter.,"One result, one matter, one owner.",Processing Integrity,Product,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,Technical,BLOCKED,REPOSITORY_IMPLEMENTED,claim route; unmerged initialize_consumer_packet_verification on wip/20260827-national-cas-paused,,Concurrent claims produce one matter; failure leaves no partial state.,IAM-12,TO_MAP_IN_SECUREFRAME,No,Claim audit events,P0. Persist-then-claim ordering allows two users to both create a matter from one pending result. DB-level fix drafted but unmerged and unwired.
PIN-05,PIN,Participant ownership of records,No durable participant record is owned by a partner.,A partner does not own the participant's Briefcase.,Confidentiality,RCAP,Roger Roman,[Technical Control Owner],Lawrence Blackmon,Faith Walls,Continuous,Technical,BLOCKED,NONE,"rcap_document_packets, rcap_intake_sessions, rcap_briefcase_items",,Every durable participant object has a non-null participant owner and owner-scoped access.,DAT-03,TO_MAP_IN_SECUREFRAME,Yes,Authorization tests,"P0 data exposure. partner_slug NOT NULL with nullable or absent user_id; SELECT by partner tenancy. rcap_intake_sessions has no user_id column and stores name, email, phone and eligibility assessment."
PIN-09,PIN,Exact-matter payment authority,Payment and entitlement bind to one matter and its current verification.,No cross-matter entitlement.,Processing Integrity,Product,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,Technical,PARTIALLY_IMPLEMENTED,REPOSITORY_IMPLEMENTED,src/lib/expungement-ai/consumer-payment-authority.ts,,Entitlement scoped per matter and current verification.,PIN-02,TO_MAP_IN_SECUREFRAME,No,Reconciliation,Depends on the unmerged CAS storage layer.
PIN-11,PIN,Exactly-once packet credit,The first successful sponsored packet consumes exactly one credit; retries and downloads consume none.,Accurate sponsorship accounting.,Processing Integrity,RCAP,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,Technical,BLOCKED,NONE,,,"Ledger, not a counter; consumption atomic and exactly-once.",PIN-09,TO_MAP_IN_SECUREFRAME,No,Ledger reconciliation,P0 partner-financial. Audit found consumption is not a durable ledger.
EVD-01,EVD,Secureframe control mapping,Every in-scope control maps to Secureframe or is marked TO_MAP_IN_SECUREFRAME.,Single compliance system of record.,Security,Secureframe,Faith Walls,Faith Walls,Roger Roman,Faith Walls,Continuous,Administrative,PLANNED,DESIGN_DOCUMENTED,docs/security/soc2/CONTROL_REGISTER.csv,SF,Every control mapped or explicitly unmapped.,CC7,TO_MAP_IN_SECUREFRAME,No,Mapping export,
EVD-03,EVD,Control calendar,"Every recurring control has a cadence, owner and due date.",Nothing lapses.,Security,Secureframe,Faith Walls,Faith Walls,Roger Roman,Faith Walls,Continuous,Administrative,PLANNED,DESIGN_DOCUMENTED,docs/security/soc2/EVIDENCE_CALENDAR.md,SF,No recurring control without a cadence.,EVD-01,TO_MAP_IN_SECUREFRAME,No,Calendar export,
EVD-07,EVD,Evidence access restriction,Compliance evidence is access-restricted and not duplicated into Git.,Protect sensitive evidence.,Confidentiality,Secureframe,Faith Walls,Faith Walls,Roger Roman,Faith Walls,Continuous,Administrative,PLANNED,DESIGN_DOCUMENTED,docs/security/soc2/COMPANY_CONTROLS_OPERATING_PLAN.md,SF,No sensitive evidence in the repository.,,TO_MAP_IN_SECUREFRAME,No,Access listing,
EVD-10,EVD,Management attestation,Leadership attests to readiness before the observation period.,Accountable readiness.,Security,All,Roger Roman,Faith Walls,Lawrence Blackmon,Faith Walls,Per period,Administrative,PLANNED,NONE,docs/security/soc2/READINESS_GATES.md,SF,Faith attests evidence; Lawrence approves legal; Roger decides go.,CCG-E,TO_MAP_IN_SECUREFRAME,Yes,Signed attestation,None of the three may be inferred.
AVA-04,AVA,Render-job monitoring,Packet rendering jobs are monitored and failures alerted.,Delivery reliability.,Availability,Product,Roger Roman,[Technical Control Owner],Roger Roman,Faith Walls,Continuous,Hybrid,PLANNED,REPOSITORY_IMPLEMENTED,src/lib/rcap/render/worker.ts,Consoles,Failures alert a named responder.,LOG-09,TO_MAP_IN_SECUREFRAME,No,Alert history,
