"source_id","status","families","repository_labels","issuing_authority","official_landing_pages","direct_binary_url","final_resolved_url","printed_title","printed_form_number","revision_effective_date","original_filename","mime_type","page_count","byte_length","sha256","scope","relationship","expected_hash_match"
"MA-PETITION-TO-SEAL","acquired","ma-seal-admin-set | ma-seal-decrim-set","Petition to Seal","Office of the Commissioner of Probation / Massachusetts Probation Service","https://www.mass.gov/lists/court-forms-for-criminal-records | https://www.mass.gov/how-to/request-to-seal-your-criminal-record","https://www.mass.gov/doc/petition-to-seal-form/download","https://www.mass.gov/doc/petition-to-seal-form/download","PETITION TO SEAL","","04/2012","fillable-jud-mps-Petition-to-Seal.pdf","application/pdf","1","216883","416f9a1d1a7ade6e71ffe3964a30c2d247bd1aca3982f4ff8e55550a730506ce","Massachusetts statewide administrative sealing process","Shared parent form. Part A, box 4 is a route election for decriminalized conduct, not a separate PDF.",""
"MA-TC0057","acquired","ma-seal-court-set","TC0057","Massachusetts Trial Court","https://www.mass.gov/lists/court-forms-for-criminal-records | https://www.mass.gov/how-to/request-to-seal-your-criminal-record","https://www.mass.gov/doc/petition-to-seal-criminal-records-for-nolle-prosequi-or-dismissal/download","https://www.mass.gov/doc/petition-to-seal-criminal-records-for-nolle-prosequi-or-dismissal/download","PETITION TO SEAL CRIMINAL RECORDS FOR NOLLE PROSEQUI OR DISMISSAL Massachusetts Trial Court","TC0057","03/2024","jud-tc-Petition-to-Seal-Criminal-Records-for-Nolle-Prosequi-or-Dismissal.pdf","application/pdf","3","1374671","f83d441b6ddaf1efd02349519256996aea6e7c4bd812f3f1515ba89b58815bb0","Massachusetts Trial Court, statewide","Standalone court petition for nolle prosequi/dismissal cases.",""
"KY-AOC-497","acquired","ky_nonconviction_expungement-set","AOC-497","Kentucky Court of Justice","https://www.kycourts.gov/Legal-Forms/Pages/default.aspx","https://www.kycourts.gov/Legal-Forms/Legal%20Forms/497.pdf","https://www.kycourts.gov/Legal-Forms/Legal%20Forms/497.pdf","EXPUNGEMENT ORDER Division ______________________ KRS 431.076 (FOR ACQUITTAL, DISMISSAL, OR FAILURE TO INDICT)","AOC-497","07/2020","497.pdf","application/pdf","2","176877","715c00db62e19f07f7dedde68e89309027f4ed9566198a3617cb9bb34a98368b","Kentucky statewide court form","Order component corresponding to AOC-497.2.",""
"KY-AOC-497.2","acquired","ky_nonconviction_expungement-set","AOC-497.2","Kentucky Court of Justice","https://www.kycourts.gov/Legal-Forms/Pages/default.aspx","https://www.kycourts.gov/Legal-Forms/Legal%20Forms/497.2.pdf","https://www.kycourts.gov/Legal-Forms/Legal%20Forms/497.2.pdf","PETITION FOR EXPUNGEMENT (FOR ACQUITTAL, DISMISSAL, OR FAILURE TO INDICT) Division ______________________","AOC-497.2","07/2020","497.2.pdf","application/pdf","2","159169","080acd68f99ff84afb9b1d08721b5dbff516b8531f0ce53ca7ffc030e80f19e4","Kentucky statewide court form","Standalone petition; AOC-497 is its order component.",""
"KY-AOC-275.18","acquired","ky_protective_order_record_expungement-set","AOC-275.18","Kentucky Court of Justice","https://www.kycourts.gov/Legal-Forms/Pages/default.aspx","https://www.kycourts.gov/Legal-Forms/Legal%20Forms/275.18.pdf","https://www.kycourts.gov/Legal-Forms/Legal%20Forms/275.18.pdf","Court of Justice www.courts.ky.gov MOTION FOR EXPUNGEMENT OF EMERGENCY/TEMPORARY ORDER OF","AOC-275.18","01/2016","275.18.pdf","application/pdf","1","192243","b3d8278a85a56c5ac81ed9fedaf9081f5e6f5141d0f561ed6aa6ff4103d2cb51","Kentucky statewide court form","Standalone motion.",""
"ME-CR-218","acquired","me-seal-gen-set","CR-218","Maine Judicial Branch","https://mjbportal.courts.maine.gov/CourtForms/FormsLists/Index","https://mjbportal.courts.maine.gov/CourtForms/FormsLists/DownloadForm?strFormNumber=CR-218","https://mjbportal.courts.maine.gov/CourtForms/FormsLists/DownloadForm?strFormNumber=CR-218","MOTION TO SEAL CRIMINAL HISTORY","CR-218","07/01/2024","MJB-Form-cr-218.pdf","application/pdf","1","190343","82a9e8084346aa736cf25dc6c663d511e96e7205900b97a7dc2adc4ceec905d4","Maine statewide court form","Standalone motion.",""
"ME-CR-307","acquired","me-seal-survivor-set","CR-307","Maine Judicial Branch","https://mjbportal.courts.maine.gov/CourtForms/FormsLists/Index","https://mjbportal.courts.maine.gov/CourtForms/FormsLists/DownloadForm?strFormNumber=CR-307","https://mjbportal.courts.maine.gov/CourtForms/FormsLists/DownloadForm?strFormNumber=CR-307","MOTION TO SEAL CONVICTION FOR VICTIMS OF SEX TRAFFICKING OR SEXUAL EXPLOITATION","CR-307","Effective 07/29/2026; revision 06/01/2026","MJB-Form-cr-307.pdf","application/pdf","1","175213","c72e74f191a1bddb48453e3094e8a657baabf552299f353acd8bf0d8a418fed1","Maine statewide court form","Standalone motion.","true"
"ME-CR-308","acquired","me-seal-survivor-set","CR-308","Maine Judicial Branch","https://mjbportal.courts.maine.gov/CourtForms/FormsLists/Index","https://mjbportal.courts.maine.gov/CourtForms/FormsLists/DownloadForm?strFormNumber=CR-308","https://mjbportal.courts.maine.gov/CourtForms/FormsLists/DownloadForm?strFormNumber=CR-308","ORDER ON MOTION TO SEAL CRIMINAL HISTORY FOR VICTIMS OF SEX TRAFFICKING OR SEXUAL EXPLOITATION","CR-308","Effective 07/29/2026; revision 06/01/2026","MJB-Form-cr-308.pdf","application/pdf","2","162514","b2e78f24cb33d52c692d20b5bff3f0ab58115da9f26363df99cf2970f0a645f5","Maine statewide court form","Order component.","false"
"WV-SCA-C906","acquired","wv_acc_treatment_job_readiness-set","SCA-C906","Supreme Court of Appeals of West Virginia / West Virginia Judiciary","https://www.courtswv.gov/node/598","https://www.courtswv.gov/sites/default/pubfilesmnt/2026-07/SCA-C906.pdf","https://www.courtswv.gov/sites/default/pubfilesmnt/2026-07/SCA-C906.pdf","PETITION FOR EXPUNGEMENT OF MISDEMEANOR VIOLATIONS AND TRAFFIC CITATIONS","SCA-C906","","SCA-C906.pdf","application/pdf","4","176072","43b5606c9faf6fcf4d6f73c1d97cf1bd87798158dee1b6f3381c8a0472b4b64c","West Virginia statewide court form","Standalone petition.","false"
"WV-SCA-C907","acquired","wv_acc_treatment_job_readiness-set | wv_conv_nonviolent_felony-set","SCA-C907","Supreme Court of Appeals of West Virginia / West Virginia Judiciary","https://www.courtswv.gov/node/599","https://www.courtswv.gov/sites/default/pubfilesmnt/2026-04/SCA-C907.pdf","https://www.courtswv.gov/sites/default/pubfilesmnt/2026-04/SCA-C907.pdf","PETITION FOR EXPUNGEMENT OF FELONY VIOLATIONS","SCA-C907","","SCA-C907.pdf","application/pdf","4","283289","2a72314146636c4120d87bdfb83f8609e35e9e904eed2f8169bc2375fba30222","West Virginia statewide court form","Shared standalone petition; acquire once and bind to two families.","false"
"CA-SDSC-CRM-307","not_acquired","ca-diversion-seal-set","SDSC-CRM-307","Superior Court of California, County of San Diego","https://www.sdcourt.ca.gov/sdcourt/criminal2/criminalforms","","","Petition for Sealing of Arrest Records After Successful Completion of Pen. Code § 851.90 Diversion or Deferred Entry of Judgment","SDSC CRM-307","New 05/2019","","","","","","San Diego County Superior Court local form","Standalone county-local petition.",""
"CO-JDF-683","acquired","co_municipal_conviction_seal-set","JDF-683","Colorado Judicial Branch","https://www.coloradojudicial.gov/self-help-and-forms/self-help-forms/petition-seal-municipal-conviction-records","https://www.coloradojudicial.gov/sites/default/files/2023-07/JDF683.pdf","https://www.coloradojudicial.gov/sites/default/files/2023-07/JDF683.pdf","Petition to Seal Municipal Conviction Records","JDF 683","","JDF683.pdf","application/pdf","3","82760","6b451ae32c01ef1e637a460df627d246e1b4a61d4ac4f166005a7349fa87202e","Colorado statewide Judicial Branch form","Standalone petition.",""
"CO-JDF-684","acquired","co_municipal_conviction_seal-set","JDF-684","Colorado Judicial Branch","https://www.coloradojudicial.gov/self-help-and-forms/self-help-forms/order-denying-seal-criminal-conviction-municipal-records","https://www.coloradojudicial.gov/sites/default/files/2023-07/JDF%20684%20Order%20Denying%20Petition%20to%20Seal%20Criminal%20Conviction%20Municipal%20Records.pdf","https://www.coloradojudicial.gov/sites/default/files/2023-07/JDF%20684%20Order%20Denying%20Petition%20to%20Seal%20Criminal%20Conviction%20Municipal%20Records.pdf","ORDER DENYING PETITION TO SEAL CRIMINAL CONVICTION MUNICIPAL RECORDS","JDF 684","","JDF%20684%20Order%20Denying%20Petition%20to%20Seal%20Criminal%20Conviction%20Municipal%20Records.pdf","application/pdf","1","49317","36fc6a2acbfcd7ce032b5a2d43645517aa53541f25c7c5395dd782395d67f874","Colorado statewide Judicial Branch form","Denial-order component; not the granting/proposed sealing order.",""
"CO-JDF-686-RECONCILIATION","not_acquired","co_municipal_conviction_seal-set","JDF-686","Colorado Judicial Branch","https://www.coloradojudicial.gov/self-help-and-forms/self-help-forms/order-seal-criminal-conviction-municipal-records","","","Order to Seal Municipal Conviction Records","JDF 686","","","","","","","Colorado statewide Judicial Branch form","Current granting/sealing-order component used to reconcile the JDF-684 identity question.",""
"GA-GCIC-PRE-2013-RESTRICTION-REQUEST","acquired","ga-nonconv-pre2013-set","GBI-GCIC-REQUEST-TO-RESTRICT-ARREST-RECORD-PRIOR-TO-07-01-2013","Georgia Bureau of Investigation / Georgia Crime Information Center","https://gbi.georgia.gov/services/georgia-criminal-history-record-restrictions","https://gbi.georgia.gov/document/publication/request-restrict-arrest-record-instructions-and-request-form/download","https://gbi.georgia.gov/document/publication/request-restrict-arrest-record-instructions-and-request-form/download"," The REQUEST TO RESTRICT ARREST RECORD is a three section (page) form.","","","Request to Restrict Record Application and Instructions form.pdf","application/pdf","4","449903","5fe841de263070f192ddfb0e322e41b2c2a97e8d07e7e643e98fdf780aefa1ab","Georgia statewide GCIC process for arrests before July 1, 2013","Combined instructions and agency request form.",""
"MT-MMRTA-FORM-A","acquired","mt_mmrta_serving-set","MT-FORM-A","Montana Office of the Court Administrator","https://courts.mt.gov/Forms/mmrta","https://courts.mt.gov/external/forms/mmrta/form-a.docx","https://courts.mt.gov/external/forms/mmrta/form-a.docx","MMRTA Form A — Petition for Expungement, Resentencing, or Redesignation (currently serving)","MMRTA Form A","","form-a.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","","23777","968f68c78ce0d421b3751244bfcbd01c309eb7cea26027845b5e5dc6dbdb003d","Montana statewide court form","Standalone petition for a person currently serving a sentence.","true"
"MT-MMRTA-FORM-B","acquired","mt_mmrta_completed-set","MT-FORM-B","Montana Office of the Court Administrator","https://courts.mt.gov/Forms/mmrta","https://courts.mt.gov/external/forms/mmrta/form-b.docx","https://courts.mt.gov/external/forms/mmrta/form-b.docx","MMRTA Form B — Petition for Expungement or Redesignation (completed sentence)","MMRTA Form B","","form-b.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","","23685","cb2fa9c3d9f38b0b7b0b11b503b05c91cd61c491ad37b74ea1298a6f12747207","Montana statewide court form","Standalone petition for a completed sentence.","true"
"MT-MMRTA-PROPOSED-ORDER","acquired","mt_mmrta_completed-set | mt_mmrta_serving-set","MT-OCA-MMRTA","Montana Office of the Court Administrator","https://courts.mt.gov/Forms/mmrta","https://courts.mt.gov/external/forms/mmrta/proposed-order.docx","https://courts.mt.gov/external/forms/mmrta/proposed-order.docx","Proposed Order Granting Expungement, Resentencing, or Redesignation Under MMRTA","","","proposed-order.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","","21143","2e38c3c680bc1c10932e017472a39e676ae4a7ad89621790b20a9803b548db7e","Montana statewide court form","Shared proposed-order component.","true"
"MT-MMRTA-CERTIFICATE-OF-SERVICE","acquired","mt_mmrta_completed-set | mt_mmrta_serving-set","MT-OCA-MMRTA","Montana Office of the Court Administrator","https://courts.mt.gov/Forms/mmrta","https://courts.mt.gov/external/forms/mmrta/cert-service.docx","https://courts.mt.gov/external/forms/mmrta/cert-service.docx","Certificate of Service — MMRTA Petition","","","cert-service.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","","16815","d9096c176ca3ac4efb5de0dfd76f0b245ea1487fe1b1b76f265c8a9d6ce6aec9","Montana statewide court form","Shared certificate-of-service component.","true"
"MT-DOJ-CRISS-REMOVAL-REQUEST","acquired","mt_mmrta_completed-set | mt_mmrta_serving-set","EXPUNGEMENTREMOVALREQUESTFORM.DOCX","Montana Department of Justice, Division of Criminal Investigation, CRISS","https://dojmt.gov/dci-home/conviction-expungement-process/ | https://courts.mt.gov/Forms/mmrta","https://dojmt.gov/wp-content/uploads/20240429-Updated-ExpungementRemovalRequestForm.docx","https://dojmt.gov/wp-content/uploads/20240429-Updated-ExpungementRemovalRequestForm.docx","Expungement/Removal Request Form","","Updated 04/29/2024","20240429-Updated-ExpungementRemovalRequestForm.docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","","84539","4606815523c3d2a77d1874ca3de8909250abd9349f2973230473116c962109a7","Montana statewide DOJ/CRISS administrative process","Second-stage agency request form.","true"
"ND-SFN-14859","acquired","nd-regular-pardon-set","SFN 14859","North Dakota Pardon Advisory Board / North Dakota Department of Corrections and Rehabilitation","https://www.docr.nd.gov/pardon-advisory-board","https://www.docr.nd.gov/sites/default/files/documents/parole_pardon/Pardon/Applications/North%20Dakota%20Pardon%20Advisory%20Board%20Application%20(1).pdf","https://www.docr.nd.gov/sites/default/files/documents/parole_pardon/Pardon/Applications/North%20Dakota%20Pardon%20Advisory%20Board%20Application%20(1).pdf","NORTH DAKOTA PARDON ADVISORY BOARD APPLICATION","SFN 14859","","North Dakota Pardon Advisory Board Application (1).pdf","application/pdf","8","211478","b88cb559c375d2443c15dd33c19f3f42387010e494ade28fc25bdbfdd75e8d5b","North Dakota statewide pardon process","Standalone regular pardon application.",""
"TX-OCA-411.0736-MODEL-PETITION","not_acquired","tx_nd_dwi_conviction-set","OCA Model Petition for an Order of Nondisclosure under § 411.0736","Texas Office of Court Administration / Texas Judicial Branch","https://www.txcourts.gov/forms/orders-of-nondisclosure/","","","Model Petition for an Order of Nondisclosure under Section 411.0736","","","","","","","","Texas statewide OCA model form","Standalone model petition.",""
"TX-OCA-411.0736-MODEL-ORDER","not_acquired","tx_nd_dwi_conviction-set","OCA Model Order of Nondisclosure under § 411.0736","Texas Office of Court Administration / Texas Judicial Branch","https://www.txcourts.gov/forms/orders-of-nondisclosure/","","","Model Order of Nondisclosure under Section 411.0736","","","","","","","","Texas statewide OCA model form","Proposed/model order component.",""
"TX-STATEMENT-INABILITY-TO-AFFORD","acquired","tx_nd_dwi_conviction-set","Statement of Inability to Afford Payment of Court Costs or an Appeal Bond","Texas Judicial Branch / Texas Office of Court Administration","https://www.txcourts.gov/forms/","https://www.txcourts.gov/media/1456942/statement-of-inability-to-afford-payment-of-court-costs-or-an-appeal-bond-bilingual.pdf","https://www.txcourts.gov/media/1456942/statement-of-inability-to-afford-payment-of-court-costs-or-an-appeal-bond-bilingual.pdf","Statement of Inability to Afford Payment of Court Costs or an Appeal Bond","","","statement-of-inability-to-afford-payment-of-court-costs-or-an-appeal-bond-bilingual.pdf","application/pdf","12","6667524","bd17a3fe43d6989d1828c91c9a46c873908c272d8e2e342af35ce8bdb2fab10d","Texas statewide court form","Conditional fee-waiver component.",""
