jurisdiction,form_id,form_title,source_sha256,revision,binary_present,structural_class,defect_categories,technical_disposition,legal_disposition,affected_track_ids,section,route_kinds,any_sellable,any_credit_consumable,owner,post_launch_priority,exact_next_action
AR,AR-ACIC-ORDER-TO-SEAL-FELONY-UNDER-ACT-1460,Order to Seal Felony Under Act 1460 of 2013,dcb87ba9ff3b64f5db9231f2f3b9d16b86264ac75cbdf81d706921ab3592f4cc,REV-2021-08-16,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-ORDER-TO-SEAL-FELONY-UNDER-ACT-1460 and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-ORDER-TO-SEAL-MISDEMEANOR-DWI-OR-BWI-CONVICTION,Order to Seal a Misdemeanor Conviction for Driving or Boating While Intoxicated,ae6b81f6882133c207f23435b00785b50b40e014c616d3c77707e8b6020d43af,REV-2021-07-27,true,flat_pdf,clipped_overlapping_or_misplaced flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_or_superseded,overlay_implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-ORDER-TO-SEAL-MISDEMEANOR-DWI-OR-BWI-CONVICTION and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-ORDER-TO-SEAL-MISDEMEANORS-UNDER-ACT-1460,Order to Seal Misdemeanors Under Act 1460 of 2013,4d6bc578c6a40a58d1234315939d46579862b5d382c85359ae4334763e7bbcc8,REV-2019-08-01,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-ORDER-TO-SEAL-MISDEMEANORS-UNDER-ACT-1460 and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-ORDER-TO-SEAL-NOLLE-PROSEQUI-DISMISSAL-ACQUITTAL-OR-NO-CHA,"Order to Seal Records of Nolle Prosequi, Dismissals, Judgments of Acquittal, and Charges Not Filed",4ca0a57a56f7662dd6590e9bfbbe7b96fcf2d39df8ca84253c53e9bd0f07605a,REV-2023-10-25,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-ORDER-TO-SEAL-NOLLE-PROSEQUI-DISMISSAL-ACQUITTAL-OR-NO-CHA and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-ORDER-TO-SEAL-RECORDS-OF-PARDONED-OFFENDER-OR-YOUTHFUL-FEL,Order to Seal Records of a Pardoned Offender or Pardoned Youthful Felony Offender,741fda999c348d763848b98053f93e8c28d25dcc1ba5e8438e98b1bdf555ae6e,REV-2022-03-07,true,flat_pdf,clipped_overlapping_or_misplaced flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_or_superseded,overlay_implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-ORDER-TO-SEAL-RECORDS-OF-PARDONED-OFFENDER-OR-YOUTHFUL-FEL and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-ORDER-TO-SEAL-UNDER-COMMUNITY-PUNISHMENT-ACT-531-AND-ACT-1,Order to Seal Pursuant to Act 531 of 1993 and Act 1460 of 2013,edd3eb10e5b3830afa417f4165611489a32c1f43d2dde3203855bdbe3b0b19da,REV-2014-08-25,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-ORDER-TO-SEAL-UNDER-COMMUNITY-PUNISHMENT-ACT-531-AND-ACT-1 and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-PETITION-TO-DISMISS-AND-SEAL-POST-ADJUDICATION-DRUG-COURT,Petition to Dismiss and Seal Offense in Post-Adjudication Drug Court Proceeding,99657d0eac1f5ea51814f4c663b483749228a06412ba1e9dd1805aeac4826e39,REV-2014-01-01,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-PETITION-TO-DISMISS-AND-SEAL-POST-ADJUDICATION-DRUG-COURT and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-PETITION-TO-DISMISS-AND-SEAL-PRE-ADJUDICATION-DRUG-COURT-O,Petition to Dismiss and Seal Offense in Pre-Adjudication Drug Court Proceeding,7b9426041a2bf7b14ee871847999ecb83d5818829abb39eb9711a411ff70ba42,REV-2014-08-25,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-PETITION-TO-DISMISS-AND-SEAL-PRE-ADJUDICATION-DRUG-COURT-O and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-PETITION-TO-DISMISS-AND-SEAL-VETERANS-TREATMENT-SPECIALTY,Petition to Dismiss and Seal Offense in Veterans Treatment Specialty Court Proceeding,2a60285e2fc0d5c7f765df93143f65edf302dc8f28429a1050d329b3f48ff0a0,REV-2021-07-27,true,flat_pdf,clipped_overlapping_or_misplaced flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_or_superseded,overlay_implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-PETITION-TO-DISMISS-AND-SEAL-VETERANS-TREATMENT-SPECIALTY and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-PETITION-TO-SEAL-ARREST-UNDER-ACT-1460,Petition to Seal Arrest Under Act 1460 of 2013,f77e17b669bd6e01cc3818329181bb378dd774b1facd9a15c4083d37d380194c,REV-2014-08-25,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-PETITION-TO-SEAL-ARREST-UNDER-ACT-1460 and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-PETITION-TO-SEAL-CONTROLLED-OR-COUNTERFEIT-SUBSTANCE-POSSE,Petition to Seal Conviction for Possession of Controlled or Counterfeit Substance,015c7246ffd5ad1512d55234708d885db3dd6d5eebb937c049aca8fe4f818029,REV-2015-04-01,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-PETITION-TO-SEAL-CONTROLLED-OR-COUNTERFEIT-SUBSTANCE-POSSE and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-PETITION-TO-SEAL-FELONY-UNDER-ACT-1460,Petition to Seal Felony Under Act 1460 of 2013,6065fe0248e9022c866ac2506c02df35b533439f6d15fc40843b709eea375d9b,REV-2021-07-21,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-PETITION-TO-SEAL-FELONY-UNDER-ACT-1460 and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-PETITION-TO-SEAL-MISDEMEANOR-DWI-OR-BWI-CONVICTION,Petition to Seal a Misdemeanor Conviction for Driving or Boating While Intoxicated,04d876b09fe82b76298a2d06093d122a0ef539f767f76811001030cc7805715d,REV-2021-07-27,true,flat_pdf,clipped_overlapping_or_misplaced flat_overlay_geometry_or_readback held_on_source_or_design never_independently_approved stale_or_superseded,overlay_implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-PETITION-TO-SEAL-MISDEMEANOR-DWI-OR-BWI-CONVICTION and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-PETITION-TO-SEAL-NOLLE-PROSEQUI-DISMISSAL-ACQUITTAL-OR-NO,"Petition to Seal Records of Nolle Prosequi, Dismissals, Judgments of Acquittal, and Charges Not Filed",09f323174881934239734e3a418eb4fec0b4bd0f7e199e8698c3af95a659fa61,REV-2020-04-22,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-PETITION-TO-SEAL-NOLLE-PROSEQUI-DISMISSAL-ACQUITTAL-OR-NO and re-render the boundary fixture until no clipping finding remains.
AR,AR-ACIC-PETITION-TO-SEAL-RECORDS-OF-PARDONED-OFFENDER-OR-YOUTHFUL,Petition to Seal Records of a Pardoned Offender or Pardoned Youthful Felony Offender,59ba1407a5a6c2b8c327a9ca549b379ab88d65105ade1c7e69110d8c1ac6c5d0,REV-2022-03-08,true,flat_pdf,flat_overlay_geometry_or_readback held_on_source_or_design multi_widget_ambiguity never_independently_approved stale_contact_sheet_manifest_or_review_evidence stale_or_superseded,overlay_no_participant_label_matched,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Resolve the recorded source or design hold on AR AR-ACIC-PETITION-TO-SEAL-RECORDS-OF-PARDONED-OFFENDER-OR-YOUTHFUL and obtain a fresh independent technical and visual approval.
AR,AR-ACIC-PETITION-TO-SEAL-UNDER-COMMUNITY-PUNISHMENT-ACT-531-AND-AC,Petition to Seal Pursuant to Act 531 of 1993 and Act 1460 of 2013,cca9d9454b565d36930a95ac6337d370f6506f8780e9d98cbfc8f99343e0a356,REV-2014-08-25,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on AR AR-ACIC-PETITION-TO-SEAL-UNDER-COMMUNITY-PUNISHMENT-ACT-531-AND-AC and re-render the boundary fixture until no clipping finding remains.
AR,Arkansas-Petition-Order-Forms.html,Arkansas-Petition-Order-Forms.html,f47ff079d70a3973ecbdd32c524f373af88801fe8cd3e91b7a6f090f825f8d42,,false,html_form,flat_overlay_geometry_or_readback held_on_source_or_design missing_binary never_independently_approved,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for AR Arkansas-Petition-Order-Forms.html at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
AR,Felony-Petition-Form-f.pdf,Felony-Petition-Form-f.pdf,6065fe0248e9022c866ac2506c02df35b533439f6d15fc40843b709eea375d9b,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for AR Felony-Petition-Form-f.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
KY,496.2.pdf,496.2.pdf,5d1ca608d94911a3f2fa0ed168ea43da2d72e685b85c48b3c220ed5ea6896bde,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for KY 496.2.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
KY,496.3.pdf,496.3.pdf,3225f34ea85bb9e4649e41257530d40e9565a4a7b95628148ee115edced47eaa,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for KY 496.3.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
KY,497.2.pdf,497.2.pdf,080acd68f99ff84afb9b1d08721b5dbff516b8531f0ce53ca7ffc030e80f19e4,,false,dirty_acroform,held_on_source_or_design missing_binary never_independently_approved xfa_javascript_or_active_content_residue,no_implementation_record,no_independent_approval,,missing_pdf_assets,,false,false,Terminal A route owner,low,"Supply the exact verified binary for KY 497.2.pdf at its committed path and SHA, then re-run the D1 implementation and visual evidence for its family."
KY,AOC-009,RECORDS UNIT,469835852a1d7427a2212403aacd3118e93d6adc07791653aab25cb93324f662,REV-UNKNOWN,true,acroform,held_on_source_or_design missing_required_packet_component multi_widget_ambiguity never_independently_approved source_identity_ambiguous stale_contact_sheet_manifest_or_review_evidence stale_or_superseded,acroform_mapped_all_fields_manual_or_unwritable,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Resolve the recorded source or design hold on KY AOC-009 and obtain a fresh independent technical and visual approval.
KY,AOC-333,"Substance in the First Degree against the defendant is dismissed and all records relating to the case, including but not",7af13bcf7ea1d395471c381b10f2200049d1c0a6380add604360da39b51f3587,REV-UNKNOWN,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design never_independently_approved source_identity_ambiguous stale_or_superseded visually_unsafe,implemented_pending_independent_review,no_independent_approval,,orphaned_or_optional_problem_pdfs,,false,false,Terminal A route owner,low,Re-measure the failing widgets on KY AOC-333 and re-render the boundary fixture until no clipping finding remains.
KY,AOC-334,is hereby void; and all records pertaining thereto that are in custody of the court and any records in the custody of,7eb2838037903de1769a0253d6ad9b092dd72f4aa363b323968c8c510fd55d3d,REV-UNKNOWN,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design source_identity_ambiguous stale_or_superseded visually_unsafe,implemented_pending_independent_review,technical_approved_for_at_least_one_served_track,ky_void_seal_controlled_substance ky_void_seal_marijuana_synthetic_salvia,active_track_problem_pdfs,guidance_only,false,false,Terminal A route owner,high,Re-measure the failing widgets on KY AOC-334 and re-render the boundary fixture until no clipping finding remains.
KY,AOC-496.2,PETITION FOR EXPUNGEMENT,5d1ca608d94911a3f2fa0ed168ea43da2d72e685b85c48b3c220ed5ea6896bde,REV-2016-07,true,acroform,clipped_overlapping_or_misplaced currentness_unverified held_on_source_or_design never_independently_approved source_identity_ambiguous visually_unsafe,implemented_pending_independent_review,no_independent_approval,ky_misdemeanor_expungement,active_track_problem_pdfs,guidance_only,false,false,Terminal A route owner,high,Re-measure the failing widgets on KY AOC-496.2 and re-render the boundary fixture until no clipping finding remains.
KY,AOC-496.3,"In support of this Application, the Defendant states as follows:",3225f34ea85bb9e4649e41257530d40e9565a4a7b95628148ee115edced47eaa,REV-UNKNOWN,true,acroform,clipped_overlapping_or_misplaced held_on_source_or_design source_identity_ambiguous stale_or_superseded visually_unsafe,implemented_pending_independent_review,technical_approved_for_at_least_one_served_track,ky_felony_expungement_after_pardon ky_felony_vacatur_expungement,active_track_problem_pdfs,exact_supported_deferral,false,false,Terminal A route owner,high,Re-measure the failing widgets on KY AOC-496.3 and re-render the boundary fixture until no clipping finding remains.
